PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
439099344859,FIRE ALARM ELECTRONIC HOOTER CUM STROBE,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
439099344859,FIRE ALARM ELECTRONIC HOOTER CUM STROBE,Rationalize,11697.0,Slow Moving,Operational,11697.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
439099716118,Defective PCB,Rationalize,1000.0,Slow Moving,Operational,1000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
439901120050,MULTI METER FLUKE 101+FLUKE HAND HELD 100 KHz DIGITAL MULTIMETER1)S/N 55132233WS2)S/N55201....,Retain,9000.0,Active,Operational,9000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
451400010024,Axle Counter COUPLERS,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45147012,"Uninsulated cadmium copper catenary wire (19/2.10 mm), 65 Sq.mm. Conforming to RDSO Specif....",Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45170137,MAINTENANCE FREE BATTERY [VRLA] OF 12 VOLTS 26 AH AS PER IS: 15549 OF 2005 FOR UPS OF PRS ....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45174404/45174416,Hydro meter complete set,Monitor,74690.72,,Strategic,74690.72,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FRO....,Retain,19091.5,Active,Operational,19091.5,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45177788,SMF V R L A Battery for UPS 12 Volt 75 AH  Make - Exide Model  EP-75-12.,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
451786060399,Lead Acid Secondary Cell 12V 120 AH Maintenance Free VRLA BATTERY,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
451786920017,"Battery 12V,7 Ah SMF ( Released)",Rationalize,6000.0,Slow Moving,Operational,6000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
451787180080,Supply of  Battery 12 V 42 AH SMF VRLA Batteries perform characteristic confirming to JIS....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
460152100019,EARTH ELECTRODE LENGTH-4 Mtrs,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
460400080015,RECTIFIERS,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
460400090010,RECTIFIERS,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
460501380016,RELAYS,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
461385530010,FOUNDATION BOLTS,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
461385815351,U BOLT,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
461506450019,BONDS,Dispose,100.0,Dead Stock,Operational,100.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
462100772653,Supply and Installation of Copper tape for Down conductor from Franklin Rod to Maintenance....,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
465100010014,ANGLE 9037,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
466419090032,M.S ROD 18 FEET,Rationalize,800000.0,Slow Moving,Operational,800000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
466419100013,RODS,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
466425160012,MS ROD ( 32MM),Dispose,32000.0,Dead Stock,Operational,32000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
