PL_Code,Description,Mean_Monthly_Demand,Std_Deviation,CV,XYZ_Class
83057213,FILE BOOKS FILE COVERS WITH 1.3cm WIDE TAPE AND TWO TAGS 50cm COVER THICK 250mm x 370mm TO GISO APPR....,0.0,0.0,,N/A
83057225,FILE BOOKS FILE COVER WITH 1.3 CM WIDETAPE & 2 TAGS 50 CM OR OVER THIN 250 MM X 370 MM TO GISO APPD.....,0.3922,2.8006,7.1414,Z
831100020429,Monochrome Laser Printer,0.0303,0.1741,5.7446,Z
83904104,SEALING WAX BLACK PITCH BASE IN BOX OF 50 KGS TO IS.868/56.,0.2381,1.543,6.4807,Z
83904827,TAG COTTON WHITE 60 CM LONG IN BUNDLES OF 100 EACH (SHOE LACE PATTERN ).,0.119,0.7715,6.4807,Z
83904839,TAG COTTON WHITE 30 CMS LONG IN BUNDLES OF 100 NOS. EACH (SHOE LACE PATTERN) CSO/M.077).,0.0476,0.3086,6.4807,Z
860130140864,PORTABLE FIRE EXTINGUISHER CO2 TYPE,0.5185,2.6116,5.0366,Z
860130141200,CO2 Fire extinguisher 4.5Kg capacity with all fittings and accessories.,11.5385,36.8805,3.1963,Z
861600960026,FIRE ALARM ANALOGUE ADDRESSABLE AND RESETTABLE MANUAL CALL POINT WITH BACK BOX  AS PER RDSO/SPN/217/....,7.9074,32.7289,4.139,Z
86900043,CANDLE WAX LONG ORDINARY 220.0 PLUS OR MINUS 5.0mm LONG FROM BOTTOM TO SHOULDER 20.0mm PLUS OR MINUS....,0.098,0.5002,5.102,Z
869037530032,"Unbranded Medium strength Thread Locking Adhesive, Size 50 milliliter",6.4516,23.3792,3.6238,Z
910100820060,Aluminum sheet of Thick minimum 0.3mm,58.8235,242.5356,4.1231,Z
98210191,Copper NonArsenical Lump,1.551,10.8571,7.0,Z
NA,Supply of GI pipes - 100mm dia-4.5mm thick as specified in Vol.II of the Tender document,0.0,0.0,,N/A
hpff7ab010a82bcd916f42dde7bb462cccc3c4e242,hp Intel Core i5 All in One PC with 23.8 Inch Display/ Windows 10 Professional,0.0,0.0,,N/A
