PL_Code,Description,Business_Unit,Criticality,Criticality_Name,ABC_Class,Forecast_Method,Forecastability_Class,Forecast_2026_27,Current_Stock,Strategic_Stock,Operational_Stock,Lead_Time_Months,Pending_Supply,Unit_Cost,Inventory_Value,Supplier_Info,Procurement_History
560601907157,GALLANT UN-INTERRUPTED DUAL REDUNDANT 24VDC/2A MULTI OUTPUT POWER PACK,MAS,,,,No Forecast,,,,,,,,,,,
560601982623,STOPPER TERMINAL,MAS,,,,SBA,Very Low,63.3333,,,,,,,,Yes,Yes
560602423289,Siemens AFTC Tuning Unit - TX (F11) D13- B11,MAS,,,,SBA,Very Low,0.4071,,,,,,,,,
560602905521,PUSH BUTTON ASSEMBLY,MAS,,,,TSB,Very Low,24.4631,,,,,,,,Yes,Yes
560602960015,"Electrolytic Condensor 50V DC-5000 Mfd , Make Keltron, Samwha, Panasonic only FIrm offer:Make Keltro....",MAS,,,,TSB,Very Low,556.7961,,,,,,,,Yes,Yes
560603050043,MSDAC EVALUATOR WITH CARDS,MAS,,,,SBA,Very Low,57.0,,,,,,,,Yes,Yes
560603087327,RELAY LED ECR QECX-61 [4F/4B],MAS,,,,Croston,Medium,553.0013,,,,,,,,Yes,Yes
560603087492,RELAY LED ECR QECX-52 WITH ACCESSORIES,MAS,,,,SBA,Very Low,4.8305,,,,,,,,,
560603257841,SIEMENS Electronic Interlocking Card VPIM50 Vital parallel input Module 50V,MAS,,,,SBA,Very Low,15.675,,,,,,,,Yes,Yes
560603406263,Signal ladder of Sizes  With/Without Clamp  for CLS,MAS,,,,SBA,Very Low,12.3294,,,,,,,,,
560603663314,Colour Light Signal Unit 3 ASPECT,MAS,,,,TSB,Very Low,9.2986,,,,,,,,Yes,Yes
560603663326,Colour Light Signal Unit 3 ASPECT Aluminium,MAS,,,,TSB,Very Low,12.8776,,,,,,,,Yes,Yes
560603670057,Siemens ALPHA Bond Black 18 Mtrs,MAS,,,,SBA,Very Low,20.3256,,,,,,,,,
