PL_Code,In_DMTR,In_Operational,In_Strategic,In_Criticality,Universe_Status
539800448190,0,1,0,0,Inventory_Only
539800448281,0,1,0,0,Inventory_Only
539800456678,1,0,0,0,Demand_Only
539800456903,1,0,0,0,Demand_Only
539800469648,0,1,0,0,Inventory_Only
539800493572,0,1,0,0,Inventory_Only
539800639499,1,0,0,0,Demand_Only
539800699782,1,0,0,0,Demand_Only
539800819635,0,1,0,0,Inventory_Only
539800829501,0,1,0,0,Inventory_Only
539801039390,0,1,0,0,Inventory_Only
539801361018,0,1,0,0,Inventory_Only
539801361468,0,1,0,0,Inventory_Only
539801395296,0,1,0,0,Inventory_Only
539801396203,0,1,0,0,Inventory_Only
539801396525,0,1,0,0,Inventory_Only
539801431227,0,1,0,0,Inventory_Only
539801431239,0,1,0,0,Inventory_Only
539801431276,0,1,0,0,Inventory_Only
539801431288,0,1,0,0,Inventory_Only
539801448823,0,1,0,0,Inventory_Only
539801491121,1,0,0,0,Demand_Only
539801491133,1,0,0,0,Demand_Only
539801491145,1,0,0,0,Demand_Only
539801491157,1,0,0,0,Demand_Only
539801491169,1,0,0,0,Demand_Only
539801538514,0,1,0,0,Inventory_Only
539801568695,1,0,0,0,Demand_Only
539801568713,1,0,0,0,Demand_Only
539801568725,1,0,0,0,Demand_Only
539801591796,0,1,0,0,Inventory_Only
539801592053,0,1,0,0,Inventory_Only
539801657679,0,1,0,0,Inventory_Only
539801669852,0,1,0,0,Inventory_Only
539801778410,0,1,0,0,Inventory_Only
539801778483,0,1,0,0,Inventory_Only
539801778495,0,1,0,0,Inventory_Only
539801779256,0,1,0,0,Inventory_Only
539801779517,0,1,0,0,Inventory_Only
539801779700,0,1,0,0,Inventory_Only
539801779724,0,1,0,0,Inventory_Only
539801784410,0,1,0,0,Inventory_Only
539801784744,0,1,0,0,Inventory_Only
539801849015,0,1,0,0,Inventory_Only
539801849027,0,1,0,0,Inventory_Only
539801901815,0,1,0,0,Inventory_Only
539801916260,0,1,0,0,Inventory_Only
539801992328,0,1,0,0,Inventory_Only
539802239713,1,0,0,0,Demand_Only
539802239981,0,1,0,0,Inventory_Only
539802259074,0,1,0,0,Inventory_Only
539802259141,0,1,0,0,Inventory_Only
539802259438,0,1,0,0,Inventory_Only
539802295820,0,1,0,0,Inventory_Only
539802297245,0,1,0,0,Inventory_Only
539802298778,0,1,0,0,Inventory_Only
539802299242,0,1,0,0,Inventory_Only
539802299618,0,1,0,0,Inventory_Only
539802318560,0,1,0,0,Inventory_Only
