PL_Code,Forecast_Method,MAE,RMSE,MAPE,sMAPE,Bias,Mean_Forecast_Error,Tracking_Signal,Forecastability_Score,Forecastability_Class,Forecast_Volume,Forecast_CV,Demand_Intermittency,Forecast_Confidence,Planning_Strategy,Backtest_Origins
570140712828,SBA,,,,,,,,22.05,Very Low,45.6,,94.12,Medium,Risk-driven,0
570140713948,SBA,,,,,,,,20.84,Very Low,34.2,,92.31,Medium,Risk-driven,0
570143970026,SBA,,,,,,,,21.12,Very Low,11.4,,92.86,Medium,Risk-driven,0
570150950426,SBA,,,,,,,,24.54,Very Low,57.0,,95.83,Medium,Risk-driven,0
609004430022,SBA,74.1,74.1,,200.0,0.0,74.1,12.0,15.7,Very Low,889.2,,97.22,Medium,Risk-driven,12
611600160147,TSB,,,,,,,,30.05,Low,513.0672,,57.14,Low,Policy-driven,0
623500140951,TSB,103.9067,116.0545,77.04,197.51,26.5421,98.2057,28.354,17.29,Very Low,903.3475,31.3661,92.59,Low,Risk-driven,30
623500980059,TSB,230.8339,521.1817,66.32,177.11,-0.5882,-117.3172,-15.247,31.51,Low,2231.4034,2.6129,50.0,Low,Policy-driven,30
655701031889,TSB,1.1548,1.323,,200.0,0.0,1.1548,19.0,18.49,Very Low,4.1123,,86.05,Low,Risk-driven,19
67900185,TSB,0.1345,0.1742,,200.0,0.0,0.1345,29.0,16.41,Very Low,0.2313,,94.34,Low,Risk-driven,29
71080326,SBA,0.9133,1.1194,82.73,197.73,3.0945,0.5951,16.9417,16.4,Very Low,8.877,5.8208,96.0,Medium,Risk-driven,26
71080545,SBA,0.781,1.9232,95.68,199.36,0.1171,0.045,1.4988,22.36,Very Low,5.1393,5.0002,96.0,Medium,Risk-driven,26
72081181,SBA,131.024,131.024,,200.0,0.0,131.024,30.0,16.85,Very Low,1572.288,,92.59,Medium,Risk-driven,30
721339354568,Croston,,,,,,,,45.23,Low,141.2142,,21.43,Low,Policy-driven,0
721437670023,Croston,,,,,,,,45.23,Low,141.2142,,21.43,Low,Policy-driven,0
72207413,Croston,96.2302,156.8843,75.9,121.39,0.1697,13.9217,3.9061,53.64,Medium,1082.6359,1.9124,23.53,Low,Forecast-assisted,27
722434810027,SBA,0.5804,0.6419,29.92,188.08,7.3118,0.5416,25.1946,19.54,Very Low,5.399,8.6656,90.2,Medium,Risk-driven,27
725804740114,SBA,,,,,,,,21.73,Very Low,1140.0,,93.75,Medium,Risk-driven,0
725804740126,SBA,,,,,,,,21.42,Very Low,1520.0,,93.33,Medium,Risk-driven,0
725804740138,SBA,,,,,,,,21.42,Very Low,1710.0,,93.33,Medium,Risk-driven,0
726001400138,SBA,3.8,3.8,,200.0,0.0,3.8,18.0,15.59,Very Low,45.6,,97.62,Medium,Risk-driven,18
726001400205,TSB,0.8973,0.9625,,200.0,0.0,0.8973,13.0,18.38,Very Low,4.7707,,86.49,Low,Risk-driven,13
727901719596,SBA,0.3976,0.4581,74.11,197.16,4.2824,0.2953,21.5433,17.38,Very Low,3.543,6.642,92.45,Medium,Risk-driven,29
727925380052,SBA,0.95,0.95,,200.0,0.0,0.95,6.0,13.33,Very Low,11.4,,96.67,Medium,Risk-driven,6
752082580126,SBA,,,,,,,,22.05,Very Low,342.0,,94.12,Medium,Risk-driven,0
77035136,SBA,1.8213,4.899,100.0,188.24,-0.4519,-0.5317,-4.9627,17.67,Very Low,8.7692,4.1642,97.56,Medium,Risk-driven,17
77091310,SBA,18.9934,22.4587,16.88,193.74,13.4327,18.5279,28.2892,17.51,Very Low,108.7945,16.2826,94.34,Medium,Risk-driven,29
77091607,SBA,4.75,4.75,,200.0,0.0,4.75,29.0,15.47,Very Low,57.0,,98.11,Medium,Risk-driven,29
77093306,TSB,6.1559,6.8691,82.4,197.7,6.3547,4.8883,20.6461,16.9,Very Low,24.2069,8.9298,94.0,Low,Risk-driven,26
77110304,SBA,3.1667,3.1667,,200.0,0.0,3.1667,17.0,15.61,Very Low,38.0,,97.56,Medium,Risk-driven,17
771600011349,TSB,,,,,,,,28.26,Very Low,136.2344,,64.29,Low,Risk-driven,0
78010512,SBA,5.1696,6.4515,5.0,192.5,12.119,5.1273,25.7872,17.31,Very Low,29.8571,15.249,96.0,Medium,Risk-driven,26
781520833527,SBA,,,,,,,,22.05,Very Low,11.4,,94.12,Medium,Risk-driven,0
783100870033,TSB,0.1065,0.1396,,200.0,0.0,0.1065,30.0,18.24,Very Low,0.1697,,87.04,Low,Risk-driven,30
787900195071,SBA,0.475,0.475,,200.0,0.0,0.475,30.0,15.93,Very Low,5.7,,96.3,Medium,Risk-driven,30
787902055227,TSB,1.2678,1.4354,,200.0,0.0,1.2678,18.0,19.76,Very Low,4.836,,80.95,Low,Risk-driven,18
789900328123,SBA,,,,,,,,22.05,Very Low,11.4,,94.12,Medium,Risk-driven,0
79010805,SBA,2.9208,5.7244,93.4,199.08,0.7607,0.8452,7.8131,16.14,Very Low,20.0483,5.152,96.08,Medium,Risk-driven,27
