PL_Code,PL_Code_Normalized,Length,Issue_Type,Changed
539805023351,539805023351,12,Len12,No
539805023648,539805023648,12,Len12,No
539805023673,539805023673,12,Len12,No
539805023685,539805023685,12,Len12,No
539805023971,539805023971,12,Len12,No
539805024100,539805024100,12,Len12,No
539805024112,539805024112,12,Len12,No
539805024124,539805024124,12,Len12,No
539805024136,539805024136,12,Len12,No
539805024148,539805024148,12,Len12,No
539805024690,539805024690,12,Len12,No
539805024707,539805024707,12,Len12,No
539805024719,539805024719,12,Len12,No
539805046442,539805046442,12,Len12,No
539805046570,539805046570,12,Len12,No
539805069326,539805069326,12,Len12,No
539805069480,539805069480,12,Len12,No
539805069521,539805069521,12,Len12,No
539805069661,539805069661,12,Len12,No
539805107303,539805107303,12,Len12,No
539805124118,539805124118,12,Len12,No
539805124167,539805124167,12,Len12,No
539805290020,539805290020,12,Len12,No
539805350052,539805350052,12,Len12,No
539805423687,539805423687,12,Len12,No
539805423699,539805423699,12,Len12,No
539805423857,539805423857,12,Len12,No
539805423912,539805423912,12,Len12,No
539805423924,539805423924,12,Len12,No
539805559238,539805559238,12,Len12,No
539805714955,539805714955,12,Len12,No
539805721194,539805721194,12,Len12,No
539805734220,539805734220,12,Len12,No
539805736252,539805736252,12,Len12,No
539805736331,539805736331,12,Len12,No
539805771483,539805771483,12,Len12,No
539805825807,539805825807,12,Len12,No
539805826125,539805826125,12,Len12,No
539805870126,539805870126,12,Len12,No
539805880508,539805880508,12,Len12,No
539805880545,539805880545,12,Len12,No
539806099363,539806099363,12,Len12,No
539806099570,539806099570,12,Len12,No
539808521015,539808521015,12,Len12,No
539808540228,539808540228,12,Len12,No
539808558671,539808558671,12,Len12,No
539808558920,539808558920,12,Len12,No
539808559225,539808559225,12,Len12,No
539808559547,539808559547,12,Len12,No
539809127060,539809127060,12,Len12,No
539809531132,539809531132,12,Len12,No
539809580039,539809580039,12,Len12,No
539809943549,539809943549,12,Len12,No
539809943550,539809943550,12,Len12,No
539809946125,539809946125,12,Len12,No
539809946174,539809946174,12,Len12,No
539809946186,539809946186,12,Len12,No
539810160026,539810160026,12,Len12,No
539810160051,539810160051,12,Len12,No
539810200024,539810200024,12,Len12,No
539810200036,539810200036,12,Len12,No
539810200048,539810200048,12,Len12,No
539810200050,539810200050,12,Len12,No
539810200190,539810200190,12,Len12,No
539810221015,539810221015,12,Len12,No
539810410420,539810410420,12,Len12,No
539810410675,539810410675,12,Len12,No
539810611024,539810611024,12,Len12,No
539810830056,539810830056,12,Len12,No
539811049986,539811049986,12,Len12,No
539811050022,539811050022,12,Len12,No
539811050046,539811050046,12,Len12,No
539811130029,539811130029,12,Len12,No
539811150030,539811150030,12,Len12,No
539811180021,539811180021,12,Len12,No
539811180045,539811180045,12,Len12,No
539811180057,539811180057,12,Len12,No
539811180069,539811180069,12,Len12,No
539811180070,539811180070,12,Len12,No
539811180082,539811180082,12,Len12,No
539811180094,539811180094,12,Len12,No
539811180100,539811180100,12,Len12,No
539811190026,539811190026,12,Len12,No
539811200020,539811200020,12,Len12,No
539811210025,539811210025,12,Len12,No
539811230103,539811230103,12,Len12,No
539811230115,539811230115,12,Len12,No
539811281019,539811281019,12,Len12,No
539811550250,539811550250,12,Len12,No
539811569866,539811569866,12,Len12,No
539811600022,539811600022,12,Len12,No
539811710022,539811710022,12,Len12,No
539811931397,539811931397,12,Len12,No
539811950367,539811950367,12,Len12,No
539811950379,539811950379,12,Len12,No
539811950380,539811950380,12,Len12,No
539811950410,539811950410,12,Len12,No
539811950422,539811950422,12,Len12,No
539811950460,539811950460,12,Len12,No
539811951050,539811951050,12,Len12,No
539811990195,539811990195,12,Len12,No
539811990201,539811990201,12,Len12,No
539812020037,539812020037,12,Len12,No
539812072098,539812072098,12,Len12,No
