PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
83030062,"83030062G-2Imprest Cash Book, A4 B/S Book Printing in Bi-lingual (Hindi and Englis....",Slow Moving,Very Slow Moving,0.0,C,Operational
83030268,S&T-IB(II)Signal Failure Inspection BookA4B/SBksPrinting in Bi-lingual (Hindi and Eng....,Slow Moving,Very Slow Moving,645.0,C,Operational
81050999,TOILET SOAP-TO BE SUPPLIED IN THE FORM OF SMOOTH CAKES OF MINIMUM 100 GRAMS EACH SECURELY ....,Active,Active,285.9,C,Operational
92111002,"HIGH SPEED DIESEL (HSD): IS:1460-2005 (5th Revision or latest) Amendment No.3, Sept, 12",Dead Stock,Dead Stock,0.0,C,Operational
81050264,DETERGENT BAR 250 GMS TO BRAND  RIN/HENKO/TIDE  AS IN ORIGINAL PACKING,Active,Monitor,1511.37,C,Operational
80090436,KEROSENE OIL,Dead Stock,Dead Stock,0.0,C,Operational
80010295,"INTERNAL COMBUSTION ENGINE CRANK CASE OILS - Gr. SAE-40 TO IS: 13656/2002, TYPE EDL-2 (API....",Dead Stock,Dead Stock,0.0,C,Operational
79511843,WASTE COTTON WHITE UNTEASED  TO IS. 6612/79 OR LATEST.,Slow Moving,Very Slow Moving,1047.2,C,Operational
79511740,WASTE COTTON COLOURED TO IS 5485/80 OR LATEST.,Slow Moving,Slow Moving,317.25,C,Operational
79333485,DUSTERS  COTTON KHADI  61 cms  x 61cms  SPECN: DUSTERS CLOTH COTTON KHADI BLEACHED  TO IS.....,Active,Monitor,422.94,C,Operational
793152030029,Safety Shoe,Dead Stock,Dead Stock,0.0,C,Operational
79010866,"DUNGRY CLOTH COTTON KHADI BLEACHED TO IS: 3778-1993,AMENDMENT-1 IN A PIECE LENGTH OF 10 TO....",Active,Active,1818.6,C,Operational
79010805,"DUNGRI CLOTH, COTTON KHADI, BLUE 91 CM WIDE TO SPEC.NO.IS:3778 / 1993 WITH AMENDMENT No.1,....",Active,Monitor,0.0,C,Operational
78010512,"GLASS TUMBLER 260 ML CAPACITY WITH IR"" TOTEM OF RDSO SKETCH 68060 ALT.2.",Slow Moving,Slow Moving,0.0,C,Operational
75544453,TWINE COUNTRY JUTE 3PLY TO IS.SPECN.NO.1912/84 VARIETY NO.6.,Active,Active,1397.97,C,Operational
71080326,BROOMS COCOA WELL CLEANED & DRIED FROM THE STEMS OF COCONUT LEAVES 20cms CIRCUMFERENCE AT ....,Active,Monitor,1137.6,C,Operational
71050802,"Brushes wire (steel), foundry, flat with wooden handle stamped IR on the handle to IS:4301....",Dead Stock,Dead Stock,0.0,C,Operational
71010397,"BRUSHES, PAINTS & VARNISHES, FLAT SIZE 100mm OF VULCANIZED RUBBER SETTING TYPE TO SPECN.IS....",Slow Moving,Very Slow Moving,957.37,C,Operational
71010373,"BRUSHES, PAINTS & VARNISHES, FLAT SIZE 75mm OF VULCANIZED RUBBER SETTING TYPE TO SPECN.IS:....",Slow Moving,Very Slow Moving,0.0,C,Operational
71010350,"BRUSHES, PAINTS & VARNISHES, FLAT SIZE 50mm OF VULCANIZED RUBBER SETTING TYPE TO SPECN.IS:....",Active,Monitor,3220.16,C,Operational
