PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
539833391030,Handheld digital multimeter,Slow Moving,Very Slow Moving,0.0,C,Operational
722400660010,DRILLING MECHINE 13 TO 23 MM,Slow Moving,Slow Moving,137324.0,C,Operational
722400660010,DRILLING MECHINE 13 TO 23 MM,Slow Moving,Slow Moving,137324.0,C,Operational
722400660010,DRILLING MECHINE 13 TO 23 MM,Slow Moving,Slow Moving,137324.0,C,Operational
722400660010,DRILLING MECHINE 13 TO 23 MM,Slow Moving,Slow Moving,137324.0,C,Operational
522001790046,DISTANCE MEASURING WHEEL (RODO METER),Dead Stock,Dead Stock,2740.17,C,Operational
729023840016,"Tools Bag Nylon with pocket & sling, waterproof of size 340X240X150 mm.",Active,Active,888.0,C,Operational
727924850012,Spring adjusting Tool for DLB and FM Diado Block Instrument to Drg.No. CWM SK/01123.,Dead Stock,Dead Stock,800.0,C,Operational
430800091284,KUSAM MECO INFRARED THERMO METER MODEL KM IRL 1100,Slow Moving,Very Slow Moving,18052.0,C,Operational
589800030020,SPECIAL SPANNER FOR MAINTANENCE OF ELECTRICAL POINT MACHINE GROUND CONNECTION,Slow Moving,Very Slow Moving,4902.0,C,Operational
539805929960,Brush cutter Machine with petrol engine,Slow Moving,Very Slow Moving,0.0,C,Operational
721617410015,Dial Tension Gauge 50-500grams for DLB Instrument (WO No.13075025),Slow Moving,Very Slow Moving,11745.22,C,Operational
570110460035,BROTHER ELECTRONIC LABEL PRINTER,Active,Monitor,5378.46,C,Operational
430201610016,Hand Held 600 V Insulation Tester. Make :- YOKINS (YOK-IT-HDG-MB-500V-500MOHMS) or Similar....,Slow Moving,Slow Moving,2596.0,C,Operational
783100174259,STEEL STORAGE RACK,Slow Moving,Very Slow Moving,170000.0,C,Operational
90230334,"INDIAN STANDARD EQUAL ANGLE ISA 50 X 50 X 6MM, IN THE LENGTH OF 5.5 TO 13.5 MTRS. CONFORMI....",Slow Moving,Very Slow Moving,0.0,C,Operational
831100740244,"ALL IN ONE PRINTER (MULTIFUNCTION MACHINE MFM PRINT SCAN,COPY AND AUTOMATIC SIDE PRINT MAK....",Slow Moving,Slow Moving,9246.87,C,Operational
565001310033,"Supply of surge protective device (SPD) life tester, designed for onsite testing of surge ....",Slow Moving,Very Slow Moving,0.0,C,Operational
40402411064,DISTANCE MEASURING WHEEL,Slow Moving,Very Slow Moving,0.0,C,Operational
439002170067,"HIMALAYAN POWER PETROL START, PETROL RUN POWER GENERATOR AND PORTABLE GENERATORS",Slow Moving,Very Slow Moving,0.0,C,Operational
569065530015,"Aluminium Single Pole Platform step telescopic ladder, Capacity 150 Kg (Telescopic Ladder ....",Slow Moving,Slow Moving,24291.9,C,Operational
721427060212,"TORQUE WRENCH, RATCHET TYPE, RANGE 135-540 Nm, 14-56 Kgf mtrs & Sq. DRIVE 3/4 ALONG WITH 4....",Slow Moving,Very Slow Moving,7500.0,C,Operational
469029750666,WALKIE TALKIE MOTOROLA  XiR P6600i,Active,Monitor,115828.8,C,Operational
727912620020,Portable  Rail drilling machine fitted with petrol start kerosin oil run HONDA engine as p....,Active,Monitor,0.0,C,Operational
729099810011,"WELDING MACHINE, PORTABLE, INVERTER TYPE, SINGLE PHASE, CURRENT OUTPUT: 20 -200AMPS. AIR C....",Active,Monitor,0.0,C,Operational
570108730031,Cartridge ink set for brother printer HL T 4000 DW,Active,Active,0.0,C,Operational
563047190014,Tool Kit For IRS Point Machine 143MM (or) 220MM,Active,Active,5000.0,C,Operational
570189450015,DUGONG High End Desktop Computer,Active,Active,0.0,C,Operational
549007661110,A TYPE FOUNDATION,Slow Moving,Very Slow Moving,0.0,C,Operational
549007661110,A TYPE FOUNDATION,Slow Moving,Very Slow Moving,0.0,C,Operational
549007661110,A TYPE FOUNDATION,Slow Moving,Very Slow Moving,0.0,C,Operational
549007661110,A TYPE FOUNDATION,Slow Moving,Very Slow Moving,0.0,C,Operational
549007661110,A TYPE FOUNDATION,Slow Moving,Very Slow Moving,0.0,B,Operational
549007661110,A TYPE FOUNDATION,Slow Moving,Very Slow Moving,0.0,C,Operational
549007661110,A TYPE FOUNDATION,Slow Moving,Very Slow Moving,0.0,C,Operational
565000074846,Goods Warning Board with Reflective Sheet.,Slow Moving,Slow Moving,23232.0,C,Operational
