PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
429079380019,TENT 15X15,0.0,Nos.,150.0,0.0,19-10-2021,27-09-2023,984,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
727903280012,TOOL KIT,36.0,Nos.,500.0,18000.0,02-05-2026,09-02-2026,36,Active,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/TPJ077355-S AND T-SR,C
539855730014,Track Shunt Resistance 0.5 Ohms,37.0,Nos.,5323.68,196976.0,01-09-2025,14-08-2023,279,Slow Moving,Slow Moving,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/TPJ077355-S AND T-SR,C
821144170019,wooden cup board (small size),0.0,Nos.,200.0,0.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
469035021002,VERNIER CALIPERS 0 MM-300 MM,1.0,Nos.,500.0,500.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
727900038706,Bench Vice  5,2.0,Nos.,750.0,1500.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
727901391219,Platform weighing machine 1000 kg,1.0,Nos.,1500.0,1500.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
729072480024,Wire Striper,3.0,Nos.,15.0,45.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
432500150219,Rechargeable Hand Hold LED Torch.,10.0,Nos.,4099.02,40990.24,13-12-2024,25-12-2025,164,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/TPJ077355-S AND T-SR,C
783000253046,SOFA 3 SEATER,1.0,Nos.,300.0,300.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
