PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
567913410017,"MAIN LED SIGNAL 3 ASPECT (ONE SET CONSIST  OF ONE RED, ONE GREEN & ONE YELLOW )",0.0,0.0,1131,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
569009630012,FIRE ALARM GSM INTERFACE MODULE FOR INTERFACING WITH CONTROL PANEL as per RDSO/SPN /217 /2....,0.0,0.0,1349,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539801820013,Point CT Box ( Iron ),0.0,0.0,1874,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
569029430028,Supply of Firewall as per Spec.A5,0.0,0.0,1042,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539804489642,Supply of L2-24 Port managed LAN switch of D Link make,0.0,0.0,1042,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
529003330031,Supply of 24 Port Unmanaged LAN switch of D Link make,0.0,0.0,1042,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565002570026,Supply of Dual Card E1 to RS232 converter for Data logger,0.0,0.0,1040,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565199840131,Client PC for interfacing to CMU and CRIS server.,0.0,0.0,1040,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565199840120,Supply of Central Monitoring Unit(CMU)as per RDSO Spec.IRS.S:99/2006,0.0,0.0,1040,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
729026570012,Maintenance Tool Kit (Stanley Telecommunication Tools) Model No-STHT89883-8(89-883),0.0,0.0,1202,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
569005400012,SUPPLY OF 1:1 VF ISOLATION TRANSFORMERS (470:600),0.0,0.0,1298,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567913470014,FIRE ALARM SOUNDER CUM STROBE 24V as per RDSO/SPN /217 /2018 ver-2 or latest.,0.0,0.0,1357,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567901370019,MAIN LED SIGNAL (ONE SET CONSIST OF ONE RED & ONE YELLOW),0.0,0.0,1131,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
569011960019,FIRE ALARM MULTI SENSOR DETECTOR DUAL OPTICAL/THERMAL WITH ROTARIES AND BACK BOXES INCLUDI....,0.0,0.0,1530,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
